Name,Media,URL
GateKeeper: a new hardware architecture for accelerating pre-alignment in DNA short read mapping,Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/gatekeeper_FPGA-genome-prealignment-accelerator_bionformatics17.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
GRIM-Filter: Fast Seed Location Filtering in DNA Read Mapping Using Processing-in-Memory Technologies,Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/1711.01177.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
Shouji: A Fast and Efficient Pre-Alignment Filter for Sequence Alignment,Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/shouji-genome-prealignment-filter_bionformatics19.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
"SneakySnake: A Fast and Accurate Universal Genome Pre-Alignment Filter for CPUs, GPUs and FPGAs",Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/1910.09020.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
"GenASM: A High-Performance, Low-Power Approximate String Matching Acceleration Framework for Genome Sequence Analysis",Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/GenASM-approximate-string-matching-framework-for-genome-analysis_micro20.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
Accelerating Genome Analysis: A Primer on an Ongoing Journey,Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/AcceleratingGenomeAnalysis_ieeemicro20.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
Error Detecting and Error Correcting Codes,Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/bstj29-2-147.pdf,"The Bell System Technical Journal, April, 1950, Volume 29, Number 2"
You and Your Research,Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/youandyourresearch.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
Project Zero: Reading Privileged Memory with a Side-channel,,https://googleprojectzero.blogspot.com/2018/01/reading-privileged-memory-with-side.html
Project Zero: Exploiting the DRAM rowhammer bug to gain kernel privileges,,https://googleprojectzero.blogspot.com/2015/03/exploiting-dram-rowhammer-bug-to-gain.html
The Byzantine Generals Problem,Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/p382-lamport.pdf,https://googleprojectzero.blogspot.com/2015/03/exploiting-dram-rowhammer-bug-to-gain.html
Cheat Sheet,Resources%20and%20Materials%20e4f94fe461eb427b8785490485b484a1/Cheat_Sheet_(1).pdf,
